epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.265,1.85389,4.17808,1.35448,0.13832,0.23569,0.08983,0.05131,1.41707,3.03449,1.09999,2.222e-05,2.222e-05,2.222e-05
2,28.1897,1.89002,4.17695,1.37538,0.11875,0.27893,0.09667,0.05529,1.29203,2.55045,1.04415,5.46334e-05,5.46334e-05,5.46334e-05
3,30.319,1.53676,3.21078,1.12227,0.07744,0.422,0.12498,0.08138,1.16114,4.80659,0.96847,8.5947e-05,8.5947e-05,8.5947e-05
4,32.6714,1.28023,2.23608,1.00981,0.27179,0.28694,0.12139,0.08014,1.08707,5.5453,0.94236,0.000116161,0.000116161,0.000116161
5,35.5511,1.12251,1.86565,0.96387,0.71091,0.19649,0.13123,0.08745,1.0209,4.7373,0.92076,0.000145274,0.000145274,0.000145274
6,38.5048,1.09778,1.712,0.92269,0.70867,0.18903,0.13647,0.08545,1.03677,4.86144,0.91978,0.000173288,0.000173288,0.000173288
7,40.7506,1.03455,1.54895,0.9085,0.71373,0.207,0.15413,0.10322,0.96339,3.06212,0.89,0.000200202,0.000200202,0.000200202
8,43.035,1.05826,1.50565,0.91561,0.59835,0.22385,0.17662,0.12301,0.93009,2.52714,0.88634,0.000226016,0.000226016,0.000226016
9,45.4245,1.00622,1.46816,0.91534,0.70511,0.21033,0.24143,0.15998,0.91076,2.15752,0.88741,0.00025073,0.00025073,0.00025073
10,47.6346,1.01335,1.44501,0.89366,0.58089,0.27508,0.22283,0.1494,0.9232,2.21027,0.8886,0.000274345,0.000274345,0.000274345
11,50.4096,0.9525,1.36144,0.87762,0.33337,0.35673,0.16458,0.11223,0.89039,2.19009,0.87505,0.000296859,0.000296859,0.000296859
12,53.7699,0.98286,1.31184,0.89829,0.32793,0.35943,0.21449,0.14499,0.86496,1.96663,0.87006,0.000318274,0.000318274,0.000318274
13,56.0775,0.93546,1.27517,0.87517,0.25833,0.29815,0.28881,0.18659,0.90723,1.72733,0.88831,0.000338588,0.000338588,0.000338588
14,58.2194,0.96259,1.26465,0.8778,0.27098,0.61111,0.33557,0.22063,0.89015,1.62935,0.88943,0.000357803,0.000357803,0.000357803
15,60.3749,0.93246,1.21257,0.8836,0.3135,0.39036,0.31818,0.22293,0.90895,1.64566,0.8936,0.000375918,0.000375918,0.000375918
16,62.8039,0.92204,1.27352,0.88416,0.37892,0.43557,0.32407,0.2256,0.90236,1.76299,0.88978,0.000392933,0.000392933,0.000392933
17,65.9616,0.90794,1.16255,0.86845,0.31721,0.47969,0.3272,0.24754,0.88177,1.36711,0.87688,0.000408848,0.000408848,0.000408848
18,68.6717,0.94143,1.2031,0.86846,0.30189,0.55379,0.31376,0.23325,0.89344,1.36798,0.87891,0.000423663,0.000423663,0.000423663
19,70.9019,0.88911,1.124,0.8668,0.30807,0.51777,0.31517,0.23327,0.86488,1.36933,0.87288,0.000437378,0.000437378,0.000437378
20,73.1188,0.89277,1.1348,0.87031,0.33722,0.50188,0.3442,0.25033,0.85405,1.33723,0.86812,0.000449994,0.000449994,0.000449994
21,75.435,0.94035,1.1489,0.87082,0.46409,0.48407,0.38973,0.29059,0.83551,1.23364,0.86699,0.000461509,0.000461509,0.000461509
22,77.6596,0.83585,1.07882,0.86068,0.44501,0.52053,0.40589,0.30459,0.83144,1.17902,0.86499,0.000471925,0.000471925,0.000471925
23,80.8601,0.93905,1.15539,0.8822,0.39733,0.54961,0.41509,0.29918,0.81511,1.213,0.86238,0.000481241,0.000481241,0.000481241
24,83.9581,0.84346,1.04878,0.85827,0.35519,0.57714,0.42236,0.31008,0.79562,1.19243,0.85782,0.000489457,0.000489457,0.000489457
25,86.2212,0.93422,1.08991,0.8583,0.28036,0.56598,0.37973,0.27129,0.8085,1.17567,0.85743,0.000496573,0.000496573,0.000496573
26,88.3926,0.86811,1.03125,0.85456,0.28673,0.50996,0.38775,0.27926,0.80974,1.15308,0.85711,0.000502589,0.000502589,0.000502589
27,90.4882,0.81899,1.0239,0.85325,0.34763,0.44445,0.41731,0.31479,0.77737,1.12279,0.85356,0.000507505,0.000507505,0.000507505
28,92.6737,0.84462,0.96175,0.85295,0.41839,0.50839,0.46421,0.35153,0.79051,1.11791,0.85333,0.000511321,0.000511321,0.000511321
29,95.6712,0.81586,0.94942,0.85765,0.41839,0.50839,0.46421,0.35153,0.79051,1.11791,0.85333,0.000514037,0.000514037,0.000514037
30,98.5995,0.85401,0.98392,0.87197,0.38547,0.62604,0.46608,0.35281,0.82045,1.10994,0.85646,0.000515654,0.000515654,0.000515654
31,100.86,0.79637,0.88706,0.85609,0.42072,0.57858,0.48237,0.37204,0.82123,1.09625,0.85757,0.000516171,0.000516171,0.000516171
32,103.102,0.82891,0.95033,0.85881,0.51753,0.42209,0.48428,0.36669,0.79246,1.0933,0.85455,0.000515587,0.000515587,0.000515587
